City,Average_Monthly_Rent_USD,Food_Cost_Index,Transport_Cost_Index,Internet_Cost_USD,Average_Monthly_Salary_USD,Quality_of_Life_Index,Safety_Index,Healthcare_Index,Pollution_Index
New York,1095,106.26,53.06,90.87,2263,171.12,84.8,57.72,37.7
Los Angeles,1557,73.63,106.0,42.47,2095,155.45,58.18,83.87,97.37
Chicago,1961,60.14,74.26,98.78,5531,62.13,58.48,54.69,86.22
Toronto,769,68.56,57.08,97.71,4036,123.01,85.3,62.38,54.51
Vancouver,1369,114.04,65.91,16.31,2927,99.61,67.64,67.89,98.62
Montreal,1646,89.9,46.8,67.28,3501,103.8,52.71,56.81,52.58
Sydney,1949,94.03,101.42,77.48,3948,195.14,67.4,61.94,69.8
Melbourne,1172,76.44,77.4,57.21,1328,98.01,84.78,60.57,30.76
Brisbane,1792,102.67,95.41,82.12,2756,189.64,88.71,84.84,33.91
Tokyo,1716,107.53,89.44,21.91,3836,84.98,69.07,79.53,91.63
Osaka,1013,113.44,47.78,56.87,5348,110.78,68.57,74.64,83.7
Kyoto,1440,117.43,40.85,97.44,2452,98.4,42.17,81.99,94.34
Beijing,770,53.18,59.67,95.78,5663,109.18,45.34,58.43,41.88
Shanghai,1228,78.78,82.19,38.03,3556,186.64,81.13,82.99,80.8
Shenzhen,1562,60.53,81.59,47.38,4525,174.37,68.45,47.54,32.58
